Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,0
18028-15341,W,Ty,,Rattie,4.266666836,9,3100,COL@CAR,CAR,COL,,,0
18028-14084,C,Paul,,Thompson,3.80952381,21,3000,FLA@ANH,FLA,ANH,,,0
18028-9230,D,Cameron,,Gaunce,8,3,3000,PIT@CLS,PIT,CLS,,,0
18028-68651,C,Kalle,,Kossila,1.600000024,1,3000,FLA@ANH,ANH,FLA,,,0
18028-12601,D,Dalton,,Prout,3.946666718,15,3000,PIT@CLS,CLS,PIT,,,0
18028-9290,W,Bryan,,Bickell,3.385714395,7,3000,COL@CAR,CAR,COL,IR,Illness,0
18028-8304,W,Jared,,Boll,1.136842125,38,3000,FLA@ANH,ANH,FLA,,,4
18028-8829,C,Nate,,Thompson,2.057142803,7,3000,FLA@ANH,ANH,FLA,,,4
18028-13954,D,David,,Warsofsky,5.066666603,6,3000,PIT@CLS,PIT,CLS,,,0
18028-21895,W,Chris,,Wagner,4,25,3000,FLA@ANH,ANH,FLA,,,0
18028-11401,W,Gabriel,,Bourque,2.666666667,6,3000,COL@CAR,COL,CAR,,,0
18028-38289,D,Steve,,Oleksy,4.622222053,9,3000,PIT@CLS,PIT,CLS,,,2
18028-8863,W,Tom,,Sestito,1.600000024,8,3000,PIT@CLS,PIT,CLS,,,0
18028-8376,C,Gregory,,Campbell,3.443902365,82,3000,PIT@CLS,CLS,PIT,,,0
18028-8637,C,Jay,,McClement,3.261538579,52,3000,COL@CAR,CAR,COL,,,4
18028-12756,D,Dylan,,McIlrath,3.866666794,6,3000,FLA@ANH,FLA,ANH,,,0
18028-54502,W,Nic,,Kerdiles,0,0,3000,FLA@ANH,ANH,FLA,,,0
18028-8185,W,Shawn,,Thornton,2.068965517,29,3000,FLA@ANH,FLA,ANH,,,4
